"","GEO","Ref_Date","TYPE","STATUS","IMMIGRA","Value","GEO2"
"172","Alberta","1996/1997","College","Total, registration status","Total, student status",44769,"AB"
"173","Alberta","1996/1997","University","Full-time student","Canadian students",50964,"AB"
"174","Alberta","1996/1997","University","Full-time student","International students",2082,"AB"
"175","Alberta","1996/1997","University","Full-time student","Total, student status",53046,"AB"
"176","Alberta","1996/1997","University","Part-time student","Canadian students",16719,"AB"
"177","Alberta","1996/1997","University","Part-time student","International students",273,"AB"
"178","Alberta","1996/1997","University","Part-time student","Total, student status",16989,"AB"
"179","Alberta","1996/1997","University","Total, registration status","Canadian students",67680,"AB"
"180","Alberta","1996/1997","University","Total, registration status","International students",2352,"AB"
"181","Alberta","1999/2000","University","Total, registration status","Total, student status",81552,"AB"
"182","Alberta","2004/2005","University","Full-time student","Total, student status",66732,"AB"
"183","Alberta","2004/2005","University","Part-time student","Canadian students",21762,"AB"
"184","Alberta","2004/2005","University","Part-time student","International students",630,"AB"
"185","Alberta","2004/2005","University","Part-time student","Total, student status",22392,"AB"
"186","Alberta","2004/2005","University","Total, registration status","Canadian students",83883,"AB"
"187","Alberta","2004/2005","University","Total, registration status","International students",5241,"AB"
"188","Alberta","2004/2005","University","Total, registration status","Total, student status",89124,"AB"
"189","Alberta","2010/2011","University","Full-time student","Canadian students",87747,"AB"
"190","Alberta","2005/2006","College","Part-time student","Canadian students",18456,"AB"
"191","Alberta","2010/2011","College","Total, registration status","International students",4293,"AB"
"192","Alberta","2005/2006","College","Part-time student","Total, student status",19233,"AB"
"193","Alberta","2005/2006","College","Total, registration status","Canadian students",59766,"AB"
"194","Alberta","2005/2006","College","Total, registration status","International students",1893,"AB"
"195","Alberta","2005/2006","College","Total, registration status","Total, student status",61674,"AB"
"196","Alberta","1994/1995","College","Full-time student","International students",345,"AB"
"197","Alberta","1994/1995","College","Full-time student","Total, student status",27363,"AB"
"198","Alberta","2007/2008","University","Total, registration status","International students",5679,"AB"
"199","Alberta","2007/2008","University","Total, registration status","Total, student status",94659,"AB"
"200","Alberta","2009/2010","College","Total, registration status","Canadian students",56178,"AB"
"201","Alberta","2002/2003","University","Total, registration status","Canadian students",79074,"AB"
"202","Alberta","2002/2003","University","Total, registration status","Total, student status",83448,"AB"
"203","Alberta","2005/2006","University","Total, registration status","Total, student status",91665,"AB"
"204","Alberta","2012/2013","University","Full-time student","International students",9738,"AB"
"205","Alberta","1996/1997","College","Full-time student","International students",354,"AB"
"206","Alberta","1997/1998","College","Full-time student","International students",372,"AB"
"207","Alberta","2000/2001","College","Full-time student","Canadian students",34758,"AB"
"208","Alberta","1994/1995","College","Full-time student","Canadian students",26532,"AB"
"209","Alberta","2000/2001","University","Total, registration status","Canadian students",71706,"AB"
"210","Alberta","2000/2001","University","Total, registration status","International students",4635,"AB"
"211","Alberta","1994/1995","College","Part-time student","Canadian students",13293,"AB"
"212","Alberta","1994/1995","College","Part-time student","International students",207,"AB"
"213","Alberta","1994/1995","College","Part-time student","Total, student status",16752,"AB"
"214","Alberta","2000/2001","College","Total, registration status","International students",660,"AB"
"215","Alberta","2000/2001","College","Total, registration status","Total, student status",48048,"AB"
"216","Alberta","2000/2001","University","Full-time student","Canadian students",54906,"AB"
"217","Alberta","2000/2001","University","Full-time student","International students",3090,"AB"
"218","Alberta","2000/2001","University","Full-time student","Total, student status",57996,"AB"
"219","Alberta","2000/2001","University","Part-time student","Canadian students",16803,"AB"
"220","Alberta","1994/1995","University","Part-time student","Canadian students",16392,"AB"
"221","Alberta","1994/1995","University","Part-time student","International students",243,"AB"
"222","Alberta","2003/2004","University","Full-time student","Canadian students",60582,"AB"
"223","Alberta","1998/1999","College","Full-time student","Total, student status",32001,"AB"
"224","Alberta","2000/2001","University","Total, registration status","Total, student status",76341,"AB"
"225","Alberta","1994/1995","University","Total, registration status","Canadian students",64836,"AB"
"226","Alberta","1994/1995","University","Total, registration status","International students",2598,"AB"
"227","Alberta","2005/2006","College","Full-time student","Canadian students",41310,"AB"
"228","Alberta","2005/2006","College","Full-time student","International students",1116,"AB"
"229","Alberta","2005/2006","College","Full-time student","Total, student status",42441,"AB"
"230","Alberta","1993/1994","University","Total, registration status","Total, student status",68769,"AB"
"231","Alberta","2003/2004","College","Part-time student","Total, student status",14778,"AB"
"232","Alberta","1997/1998","College","Full-time student","Canadian students",28893,"AB"
"233","Alberta","2003/2004","College","Total, registration status","International students",1287,"AB"
"234","Alberta","2003/2004","College","Total, registration status","Total, student status",54246,"AB"
"235","Alberta","1992/1993","University","Full-time student","International students",2784,"AB"
"236","Alberta","1992/1993","University","Full-time student","Total, student status",50346,"AB"
"237","Alberta","1998/1999","College","Part-time student","Canadian students",15285,"AB"
"238","Alberta","1992/1993","College","Full-time student","Canadian students",25236,"AB"
"239","Alberta","1998/1999","College","Part-time student","Total, student status",17838,"AB"
"240","Alberta","1998/1999","College","Total, registration status","Canadian students",46230,"AB"
"241","Alberta","2009/2010","College","Total, registration status","International students",3141,"AB"
"242","Alberta","2009/2010","College","Total, registration status","Total, student status",59319,"AB"
"243","Alberta","2006/2007","College","Total, registration status","Canadian students",59535,"AB"
"244","Alberta","2001/2002","College","Part-time student","Canadian students",12879,"AB"
"245","Alberta","1992/1993","College","Total, registration status","International students",666,"AB"
"246","Alberta","1992/1993","College","Total, registration status","Total, student status",45774,"AB"
"247","Alberta","1992/1993","University","Full-time student","Canadian students",47562,"AB"
"248","Alberta","2008/2009","College","Full-time student","Total, student status",44298,"AB"
"249","Alberta","1996/1997","College","Part-time student","Canadian students",11859,"AB"
"250","Alberta","1992/1993","University","Part-time student","Canadian students",17736,"AB"
"251","Alberta","2001/2002","University","Full-time student","Canadian students",56922,"AB"
"252","Alberta","2011/2012","University","Total, registration status","Total, student status",130113,"AB"
"253","Alberta","2013/2014","College","Full-time student","Total, student status",42060,"AB"
"254","Alberta","1998/1999","College","Total, registration status","International students",711,"AB"
"255","Alberta","2001/2002","College","Full-time student","International students",540,"AB"
"256","Alberta","2001/2002","College","Full-time student","Total, student status",36009,"AB"
"257","Alberta","2007/2008","College","Part-time student","Total, student status",17778,"AB"
"258","Alberta","2006/2007","College","Total, registration status","International students",2223,"AB"
"259","Alberta","2008/2009","College","Full-time student","Canadian students",42387,"AB"
"260","Alberta","2008/2009","College","Full-time student","International students",1914,"AB"
"261","Alberta","2008/2009","University","Total, registration status","Canadian students",87489,"AB"
"262","Alberta","2008/2009","University","Total, registration status","International students",6285,"AB"
"263","Alberta","1996/1997","College","Part-time student","International students",153,"AB"
"264","Alberta","1993/1994","College","Full-time student","Canadian students",25842,"AB"
"265","Alberta","1996/1997","College","Total, registration status","Canadian students",40536,"AB"
"266","Alberta","1993/1994","College","Full-time student","Total, student status",26865,"AB"
"267","Alberta","2013/2014","College","Part-time student","Canadian students",12507,"AB"
"268","Alberta","2013/2014","College","Part-time student","International students",393,"AB"
"269","Alberta","2013/2014","College","Part-time student","Total, student status",12915,"AB"
"270","Alberta","2002/2003","University","Total, registration status","International students",4371,"AB"
"271","Alberta","1993/1994","College","Total, registration status","International students",546,"AB"
"272","Alberta","1993/1994","College","Total, registration status","Total, student status",44145,"AB"
"273","Alberta","2008/2009","University","Part-time student","Total, student status",24987,"AB"
"274","Alberta","2014/2015","College","Full-time student","Canadian students",39615,"AB"
"275","Alberta","2014/2015","College","Full-time student","International students",3288,"AB"
"276","Alberta","1996/1997","University","Total, registration status","Total, student status",70032,"AB"
"277","Alberta","2010/2011","College","Full-time student","International students",2439,"AB"
"278","Alberta","1993/1994","University","Full-time student","Total, student status",51081,"AB"
"279","Alberta","1993/1994","University","Part-time student","Canadian students",17496,"AB"
"280","Alberta","1993/1994","College","Part-time student","Canadian students",13530,"AB"
"281","Alberta","2009/2010","College","Part-time student","Total, student status",22026,"AB"
"282","Alberta","2006/2007","College","Part-time student","Total, student status",19341,"AB"
"283","Alberta","1993/1994","College","Total, registration status","Canadian students",39375,"AB"
